row_index,set
158,test
292,test
133,test
118,test
229,test
0,test
231,test
228,test
159,test
5,test
103,test
109,test
70,test
41,test
150,test
90,test
148,test
93,test
36,test
273,test
281,val
44,val
151,val
212,val
288,val
31,val
144,val
252,val
267,val
152,val
181,val
164,val
277,val
121,val
116,val
63,val
283,val
266,val
173,val
71,val
39,train
244,train
130,train
170,train
155,train
278,train
47,train
17,train
210,train
201,train
33,train
141,train
160,train
124,train
111,train
299,train
197,train
106,train
92,train
18,train
75,train
42,train
295,train
10,train
84,train
117,train
213,train
64,train
235,train
276,train
161,train
198,train
25,train
236,train
8,train
132,train
68,train
296,train
74,train
94,train
83,train
206,train
291,train
65,train
196,train
189,train
43,train
179,train
6,train
54,train
107,train
253,train
61,train
119,train
243,train
223,train
214,train
128,train
162,train
126,train
13,train
97,train
221,train
149,train
254,train
182,train
208,train
186,train
45,train
265,train
293,train
194,train
220,train
72,train
140,train
98,train
167,train
259,train
251,train
37,train
28,train
123,train
280,train
147,train
168,train
204,train
248,train
222,train
99,train
274,train
52,train
199,train
218,train
46,train
91,train
294,train
275,train
60,train
225,train
247,train
284,train
166,train
102,train
82,train
185,train
50,train
138,train
264,train
35,train
122,train
219,train
14,train
209,train
139,train
15,train
89,train
80,train
142,train
233,train
216,train
271,train
53,train
200,train
100,train
242,train
300,train
286,train
32,train
9,train
87,train
261,train
260,train
203,train
232,train
131,train
157,train
16,train
230,train
105,train
224,train
190,train
226,train
249,train
77,train
110,train
113,train
30,train
192,train
129,train
297,train
172,train
195,train
1,train
67,train
2,train
279,train
12,train
177,train
272,train
112,train
11,train
205,train
48,train
165,train
180,train
51,train
255,train
88,train
135,train
23,train
227,train
215,train
38,train
178,train
55,train
20,train
137,train
34,train
202,train
27,train
114,train
57,train
246,train
153,train
171,train
154,train
136,train
40,train
238,train
285,train
175,train
211,train
22,train
19,train
298,train
134,train
174,train
262,train
108,train
257,train
4,train
217,train
96,train
81,train
79,train
183,train
250,train
145,train
239,train
85,train
256,train
3,train
258,train
26,train
234,train
143,train
269,train
66,train
163,train
76,train
237,train
156,train
146,train
193,train
245,train
24,train
282,train
59,train
21,train
188,train
62,train
86,train
125,train
101,train
240,train
49,train
58,train
187,train
169,train
290,train
268,train
207,train
241,train
56,train
270,train
73,train
263,train
115,train
287,train
191,train
104,train
176,train
7,train
69,train
127,train
78,train
120,train
29,train
184,train
289,train
95,train
