row_index,set
90,test
159,test
103,test
63,test
31,test
213,test
148,test
5,test
278,test
284,test
141,test
214,test
266,test
196,test
195,test
84,test
164,test
267,test
144,test
44,test
92,val
283,val
190,val
41,val
47,val
36,val
124,val
201,val
160,val
271,val
281,val
130,val
39,val
117,val
74,val
75,val
132,val
17,val
123,val
33,val
185,train
111,train
121,train
285,train
118,train
93,train
68,train
18,train
42,train
64,train
10,train
182,train
257,train
273,train
212,train
0,train
227,train
152,train
138,train
149,train
151,train
83,train
25,train
277,train
8,train
119,train
244,train
147,train
71,train
70,train
236,train
65,train
205,train
173,train
43,train
126,train
6,train
54,train
94,train
235,train
61,train
106,train
226,train
128,train
198,train
162,train
150,train
133,train
13,train
204,train
109,train
97,train
166,train
203,train
170,train
45,train
253,train
282,train
197,train
276,train
72,train
219,train
98,train
155,train
242,train
233,train
37,train
28,train
168,train
258,train
192,train
239,train
206,train
222,train
116,train
99,train
223,train
52,train
228,train
186,train
46,train
161,train
91,train
194,train
265,train
60,train
230,train
140,train
218,train
260,train
208,train
102,train
82,train
274,train
50,train
167,train
35,train
122,train
202,train
14,train
252,train
139,train
15,train
89,train
80,train
142,train
216,train
200,train
261,train
53,train
224,train
100,train
225,train
288,train
181,train
32,train
9,train
87,train
247,train
220,train
215,train
131,train
157,train
16,train
105,train
254,train
231,train
77,train
110,train
113,train
30,train
280,train
129,train
286,train
172,train
179,train
1,train
251,train
2,train
269,train
12,train
177,train
262,train
112,train
11,train
189,train
48,train
165,train
180,train
51,train
243,train
88,train
135,train
23,train
248,train
199,train
38,train
178,train
55,train
20,train
137,train
34,train
27,train
114,train
57,train
229,train
153,train
171,train
154,train
136,train
40,train
221,train
275,train
175,train
211,train
22,train
19,train
287,train
250,train
174,train
249,train
108,train
264,train
4,train
217,train
96,train
81,train
79,train
183,train
232,train
145,train
85,train
238,train
3,train
256,train
26,train
234,train
143,train
259,train
158,train
66,train
163,train
246,train
237,train
107,train
209,train
76,train
156,train
210,train
146,train
134,train
67,train
193,train
255,train
245,train
24,train
272,train
59,train
21,train
188,train
62,train
86,train
125,train
101,train
240,train
49,train
58,train
187,train
169,train
279,train
268,train
207,train
241,train
56,train
270,train
73,train
263,train
115,train
191,train
104,train
176,train
7,train
69,train
127,train
78,train
120,train
29,train
184,train
95,train
